"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
08/31/2011,22:00,82.70,83.37,82.20,82.98,4737646,0,84.80,76.32,80.56
09/01/2011,22:00,82.98,83.95,81.28,81.61,4535312,0,84.72,76.33,80.53
09/02/2011,22:00,80.02,80.33,78.92,79.35,4393049,0,84.45,76.26,80.36
09/06/2011,22:00,77.43,78.26,76.70,78.08,5271141,0,84.48,76.19,80.33
09/07/2011,22:00,79.44,80.64,78.66,80.57,5216110,0,84.23,76.22,80.23
09/08/2011,22:00,79.77,80.65,78.78,79.26,4723619,0,84.21,76.35,80.28
09/09/2011,22:00,78.06,78.18,76.00,76.65,7423451,0,84.25,75.85,80.05
09/12/2011,22:00,76.50,78.28,76.00,78.22,5848828,0,83.95,75.72,79.83
09/13/2011,22:00,78.25,78.79,77.19,77.81,6469078,0,83.43,75.68,79.56
09/14/2011,22:00,77.96,80.39,76.91,79.44,5402426,0,83.11,75.73,79.42
09/15/2011,22:00,80.40,81.03,79.48,80.63,4222294,0,83.08,75.74,79.41
09/16/2011,22:00,81.43,81.65,80.01,80.53,6027526,0,83.14,75.98,79.56
09/19/2011,22:00,79.57,79.57,77.88,79.21,4552695,0,83.05,76.31,79.68
09/20/2011,22:00,79.42,79.92,78.46,79.21,3914774,0,82.93,76.66,79.79
09/21/2011,22:00,79.35,79.76,76.27,76.34,4958394,0,83.11,76.15,79.63
09/22/2011,22:00,74.82,74.90,72.00,72.90,10108456,0,83.79,74.73,79.26
09/23/2011,22:00,72.64,74.33,72.34,73.99,4583749,0,84.12,73.98,79.05
09/26/2011,22:00,74.29,75.26,73.45,75.19,5033308,0,84.12,73.49,78.81
09/27/2011,22:00,76.80,77.77,75.82,76.28,4875385,0,83.71,73.32,78.52
09/28/2011,22:00,76.52,77.20,73.50,73.60,5932031,0,83.44,72.75,78.09
09/29/2011,22:00,74.96,75.68,73.50,74.53,5633718,0,82.73,72.61,77.67
09/30/2011,22:00,73.80,73.94,71.71,71.79,7185141,0,82.52,71.84,77.18
10/03/2011,22:00,71.15,73.24,70.93,70.93,7619527,0,82.64,70.87,76.76
10/04/2011,22:00,70.13,72.18,68.63,72.01,8689888,0,82.65,70.25,76.45
